id,incident_date,address,city,zip,county,tx,number_killed,number_injured,operations,city_or_county,state,m_zip,lat,long
216,2015-01-07,County Road 3823,Medina County,,NA,TX,0,1,N/A,Medina County,Texas,NA,NA,NA
217,2014-12-31,N/A,Navasota,,NA,TX,0,1,N/A,Navasota,Texas,NA,NA,NA
218,2014-12-30,FM 1409 and County Road 460,Dayton,,NA,TX,0,1,N/A,Dayton,Texas,NA,NA,NA
219,2014-12-22,Johnson Ranch Road and County Road 4016,Kaufman County,,NA,TX,0,1,N/A,Kaufman County,Texas,NA,NA,NA
220,2014-12-05,800 Kern Rd,Killeen,,NA,TX,0,1,N/A,Killeen,Texas,76541,31.13222,-97.733406
221,2014-12-04,1200 block of Golden View Court,Arlington,,NA,TX,1,0,N/A,Arlington,Texas,76001,32.639545,-97.13231
222,2014-11-30,4702 West Magnum Rd.,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
223,2014-11-29,4700 block of West Mangum Road,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
224,2014-11-29,N/A,Rice,,NA,TX,0,1,N/A,Rice,Texas,NA,NA,NA
225,2014-11-28,N/A,Childress,,NA,TX,1,0,N/A,Childress,Texas,NA,NA,NA
226,2014-11-25,4302 Falcon Meadow,Katy,,NA,TX,1,0,N/A,Katy,Texas,77449,29.83482,-95.70418
227,2014-11-25,N/A,Hale County,,NA,TX,0,1,N/A,Hale County,Texas,NA,NA,NA
228,2014-11-24,400 block of East Thomas Street,Atlanta,,NA,TX,1,0,N/A,Atlanta,Texas,NA,NA,NA
229,2014-11-22,Texas County Road 4070,Woodville,,NA,TX,1,0,N/A,Woodville,Texas,NA,NA,NA
230,2014-10-19,3800 block of Reynosa Street,Corpus Christi,,NA,TX,1,0,N/A,Corpus Christi,Texas,78416,27.760765,-97.424484
231,2014-09-26,Force and Crown,Houston,,NA,TX,1,0,N/A,Houston,Texas,77020,29.786324,-95.29335
232,2014-09-24,325 Pruitt Ave.,San Antonio,,NA,TX,0,0,N/A,San Antonio,Texas,78204,29.398796,-98.506676
233,2014-09-05,200 block of Moonshine Hill,Humble,,NA,TX,0,1,N/A,Humble,Texas,NA,NA,NA
234,2014-08-24,4200 block of Southwest Loop 410,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,NA,NA,NA
235,2014-08-21,Mountain View Lane,Pipe Creek,,NA,TX,0,1,N/A,Pipe Creek,Texas,NA,NA,NA
236,2014-08-14,4600 East Houston St.,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78220,29.424013,-98.40313
237,2014-08-13,400 block of S. Pine St.,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
238,2014-08-10,1100 S Seventh,Conroe,,NA,TX,0,1,N/A,Conroe,Texas,77301,30.302744,-95.442406
239,2014-08-10,N/A,Texas City,,NA,TX,0,1,N/A,Texas City,Texas,NA,NA,NA
240,2014-08-07,N/A,Texas City,,NA,TX,0,1,N/A,Texas City,Texas,NA,NA,NA
241,2014-08-06,10100 Beechnut St,Houston,,NA,TX,0,2,N/A,Houston,Texas,77072,29.689459,-95.55757
242,2014-08-05,600 block of Destin Dr,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76131,32.908077,-97.370834
243,2014-08-01,N/A,Ector County,,NA,TX,0,1,N/A,Ector County,Texas,NA,NA,NA
244,2014-07-31,1600 block of Saunders,Bryan,,NA,TX,1,0,N/A,Bryan,Texas,77803,30.680037,-96.3869
245,2014-07-31,N/A,Bryan,,NA,TX,1,0,N/A,Bryan,Texas,NA,NA,NA
246,2014-07-26,N/A,Belton,,NA,TX,0,1,N/A,Belton,Texas,NA,NA,NA
247,2014-07-23,Pine and E. Crockett St.,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78202,29.42376,-98.47025
248,2014-07-12,100 Debby Ln,Mineola,,NA,TX,0,1,N/A,Mineola,Texas,NA,NA,NA
249,2014-07-09,FM 1375 E,New Waverly,,NA,TX,0,1,N/A,New Waverly,Texas,NA,NA,NA
250,2014-07-05,11400 block of Panay,Houston,,NA,TX,1,0,N/A,Houston,Texas,77048,29.63618,-95.347466
251,2014-07-03,N/A,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,NA,NA,NA
252,2014-07-01,Co Rd 4764,Briar,,NA,TX,0,1,N/A,Briar,Texas,NA,NA,NA
253,2014-06-30,6301 Ranchester,Houston,,NA,TX,1,0,N/A,Houston,Texas,77036,29.709867,-95.54548
254,2014-06-27,14678 FM 59,Athens,,NA,TX,0,1,N/A,Athens,Texas,NA,NA,NA
255,2014-06-22,739 West William Cannon Dr,Austin,,NA,TX,1,0,N/A,Austin,Texas,78745,30.197327,-97.78859
256,2014-06-13,16000 block of US 385,Odessa,,NA,TX,0,1,N/A,Odessa,Texas,NA,NA,NA
257,2014-06-12,Evanston St,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
258,2014-05-24,100 block of Becker St,Boerne,,NA,TX,1,0,N/A,Boerne,Texas,78006,29.796959,-98.72618
259,2014-04-24,Isom Street,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
260,2014-04-13,9820 North Freeway,Houston,,NA,TX,0,0,N/A,Houston,Texas,NA,NA,NA
261,2014-03-13,County Road 2130,Emory,,NA,TX,1,0,N/A,Emory,Texas,NA,NA,NA
262,2014-03-10,County Rd 3144,Corsicana,,NA,TX,1,0,N/A,Corsicana,Texas,NA,NA,NA
263,2014-03-01,12800 block of Gotham Dr,Houston,,NA,TX,1,0,N/A,Houston,Texas,77089,29.59232,-95.19795
264,2014-03-01,N/A,Dallas,,NA,TX,0,1,N/A,Dallas,Texas,NA,NA,NA
265,2014-02-27,200 block of Madero,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78207,29.402637,-98.52433
266,2014-02-14,N/A,Aransas Pass,,NA,TX,0,1,N/A,Aransas Pass,Texas,NA,NA,NA
267,2014-01-26,1100 block of TX 31,Kilgore,,NA,TX,1,0,N/A,Kilgore,Texas,NA,NA,NA
268,2014-01-25,1100 block of TX-31,Kilgore,,NA,TX,1,0,N/A,Kilgore,Texas,NA,NA,NA
269,2014-01-18,100 block of S. Broad,Lampasas County,,NA,TX,0,1,N/A,Lampasas County,Texas,NA,NA,NA
270,2014-01-02,610 Howard Street,Taylor,,NA,TX,0,1,N/A,Taylor,Texas,76574,30.571564,-97.42028
