id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county
70,2017-10-03,Whitehurst Dr and Skillman St,Dallas,NA,Texas,1,0,N/A,Dallas
71,2017-09-30,CR 3560,Cleveland (Plum Grove),NA,Texas,1,0,N/A,Cleveland (Plum Grove)
72,2017-09-28,19000 block of Highland,Tornillo,NA,Texas,1,0,N/A,Tornillo
73,2017-09-26,3700 block of Burning Tree Ln,Garland,NA,Texas,1,0,N/A,Garland
74,2017-09-19,5000 block of CR 48,Manvel,NA,Texas,1,0,N/A,Manvel
75,2017-09-16,Highway 770 North,Saratoga,NA,Texas,0,1,N/A,Saratoga
76,2017-09-05,500 block of Park Grove Dr,San Antonio,NA,Texas,0,1,N/A,San Antonio
77,2017-09-02,3500 block of Parker Rd E,Haltom City,NA,Texas,1,0,N/A,Haltom City
78,2017-08-28,9500 block of Timber Trail,Scurry,NA,Texas,1,0,N/A,Scurry
79,2017-08-10,10806 Cobblecreek Way,Missouri City,NA,Texas,0,1,N/A,Missouri City
80,2017-08-07,1509 Trigg Ln,Wichita Falls,NA,Texas,1,0,N/A,Wichita Falls
81,2017-08-06,400 block of E San Antonio St,New Braunfels,NA,Texas,0,2,N/A,New Braunfels
82,2017-08-04,6200 block of Big Valley Dr,San Antonio,NA,Texas,1,0,N/A,San Antonio
83,2017-07-31,22900 block of Cielo Vista Dr,San Antonio,NA,Texas,0,1,N/A,San Antonio
84,2017-07-30,4700 block of 6th St,Bacliff,NA,Texas,1,0,N/A,Bacliff
85,2017-07-22,3100 block of Stag Road,Dallas,NA,Texas,0,1,N/A,Dallas
86,2017-07-21,200 block of Baker,Houston,NA,Texas,0,1,N/A,Houston
87,2017-07-20,19900 block of River Brook Dr,Humble (Atascocita),NA,Texas,1,0,N/A,Humble (Atascocita)
88,2017-07-19,1800 block of Edmund Blvd,San Angelo,NA,Texas,1,0,N/A,San Angelo
89,2017-07-19,1300 block of E Garnett,Gainesville,NA,Texas,0,1,N/A,Gainesville
90,2017-07-06,234 RR 1050,Concan,NA,Texas,0,3,N/A,Concan
91,2017-07-04,3134 Mission Gate,San Antonio,NA,Texas,1,0,N/A,San Antonio
92,2017-07-02,600 block of County Rd L,Lamesa,NA,Texas,0,1,N/A,Lamesa
93,2017-06-26,Amos St,Houston,NA,Texas,0,1,N/A,Houston
94,2017-06-12,CR 2342,Dayton,NA,Texas,1,0,N/A,Dayton
95,2017-06-01,13800 block of Northlake Dr,Houston,NA,Texas,1,0,N/A,Houston
96,2017-05-22,700 block of E. Harris,San Angelo,NA,Texas,0,1,N/A,San Angelo
97,2017-05-14,9230 Saint Lo,Houston,NA,Texas,0,1,N/A,Houston
98,2017-05-12,1601 W 11th Place,Big Spring,NA,Texas,1,0,N/A,Big Spring
99,2017-05-07,N/A,Palestine,NA,Texas,0,1,N/A,Palestine
100,2017-05-05,800 block of Upton St,San Angelo,NA,Texas,0,1,N/A,San Angelo
101,2017-04-28,2200 block of S Indiana,Brownsville,NA,Texas,0,1,N/A,Brownsville
102,2017-04-25,71st St and Utica Ave,Lubbock,NA,Texas,0,1,N/A,Lubbock
103,2017-04-19,1200 W 8th St,Freeport,NA,Texas,1,0,N/A,Freeport
104,2017-04-13,21323 Finbury Oaks Lane,Katy,NA,Texas,1,0,N/A,Katy
105,2017-04-02,1000 block of Vaky St,Corpus Christi,NA,Texas,1,0,N/A,Corpus Christi
106,2017-04-02,24100 block of Acanthus,San Antonio,NA,Texas,0,1,N/A,San Antonio
107,2017-03-23,200 block of FM 1534,Whitney,NA,Texas,1,0,N/A,Whitney
108,2017-03-23,800 block of W Green Ave,Killeen,NA,Texas,1,0,N/A,Killeen
109,2017-03-22,4002 Corder St,Houston,NA,Texas,2,0,N/A,Houston
110,2017-03-22,400 Block of Hardy Circle,El Paso,NA,Texas,1,0,N/A,El Paso
111,2017-03-17,4860 SW Loop 820,Fort Worth,NA,Texas,0,2,N/A,Fort Worth
112,2017-03-16,N/A,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
113,2017-03-12,700 block of Hatton Hill Lane,Austin,NA,Texas,0,1,N/A,Austin
114,2017-03-10,21300 block of Greenham Dr.,Spring,NA,Texas,1,0,N/A,Spring
115,2017-01-02,1600 Block of North 8th Street,Lamesa,NA,Texas,0,1,N/A,Lamesa
116,2016-12-31,4235 Oak Shadows,Houston,NA,Texas,1,0,N/A,Houston
117,2016-12-29,500 block of FM 843,Lufkin,NA,Texas,0,1,N/A,Lufkin
118,2016-12-17,9th Street and Colcord Avenue,Waco,NA,Texas,0,1,N/A,Waco
119,2016-12-12,700 Dominik Drive,College Station,NA,Texas,0,1,N/A,College Station
120,2016-11-28,406 W Martinez St,Del Rio,NA,Texas,2,0,N/A,Del Rio
121,2016-10-21,Central Park Lane,College Station,NA,Texas,0,1,N/A,College Station
122,2016-10-03,1416 Meadowlane Terrace,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
123,2016-09-29,3712 North Elm Street,Fort Worth,NA,Texas,1,0,N/A,Fort Worth
