id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county,number,street,city_2,zip,county_2,households_total,households_moe,median_income_total,median_income_moe,accuracy_score,accuracy_type,state_2,latitude,longitude,state_fips,county_fips,place_fips,census_tract_code,census_block_code,census_block_group,full_fips
25,2018-09-30,5100 block of Mountain Springs Tr,Fort Worth,NA,Texas,0,2,N/A,Fort Worth,NA,NA,Fort Worth,76101,Tarrant County,NA,NA,NA,NA,0.33,place,TX,32.771419,-97.291484,48,48439,4827000,101202,3005,3,484391012023005
26,2018-09-30,6700 block of Atasca Dr,Humble (Atascocita),NA,Texas,1,0,N/A,Humble (Atascocita),NA,NA,Humble,77325,Harris County,NA,NA,NA,NA,0.33,place,TX,29.83399,-95.434241,48,48201,4835348,531700,2004,2,482015317002004
27,2018-09-27,FM 1209,Rusk,NA,Texas,1,0,N/A,Rusk,NA,Fm,Rusk,75785,Cherokee County,513,101,35082,4606,0.9,street_center,TX,31.777035,-95.163397,48,48073,4863848,950801,2052,2,480739508012052
28,2018-08-24,Schroeder Ave,San Angelo,NA,Texas,0,1,N/A,San Angelo,NA,N Schroeder Ave,San Angelo,76905,Tom Green County,474,97,33864,7328,0.9,street_center,TX,31.473525,-100.409451,48,48451,4864472,000300,2097,2,484510003002097
29,2018-08-13,US-90 and TX-326,Nome,NA,Texas,0,1,N/A,Nome,NA,Us Hwy 90,Nome,77629,Jefferson County,877,90,71813,14223,1,street_center,TX,30.036427,-94.417552,48,48245,4851720,011500,1047,1,482450115001047
30,2018-08-10,N/A,San Antonio,NA,Texas,0,1,N/A,San Antonio,NA,NA,San Antonio,78201,Bexar County,NA,NA,NA,NA,1,place,TX,29.468413,-98.528889,48,48029,4865000,180201,4046,4,480291802014046
31,2018-08-08,2300 block of W Salinas,San Antonio,NA,Texas,0,1,N/A,San Antonio,NA,NA,San Antonio,78201,Bexar County,NA,NA,NA,NA,0.33,place,TX,29.468413,-98.528889,48,48029,4865000,180201,4046,4,480291802014046
32,2018-07-31,19435 Ambrosia Falls Dr,Tomball,NA,Texas,0,1,N/A,Tomball,19435,Ambrosia Falls Dr,Tomball,77375,Harris County,5107,228,75859,7941,1,rooftop,TX,30.045186,-95.592674,48,48201,4873316,554801,1085,1,482015548011085
33,2018-07-24,1100 S Loop 336,Conroe,NA,Texas,1,0,N/A,Conroe,1100,S Loop 336 W,Conroe,77304,Montgomery County,1257,201,59196,27384,0.9,rooftop,TX,30.284077,-95.474996,48,48339,4816432,693300,3032,3,483396933003032
34,2018-07-18,CR 418,Premont,NA,Texas,0,1,N/A,Premont,NA,Co Rd 418,Premont,78375,Jim Wells County,267,72,54306,17346,0.8,street_center,TX,27.339697,-98.099663,48,48249,4859384,950700,4292,4,482499507004292
35,2018-07-11,7109 W Loop 1604 N,San Antonio,NA,Texas,0,1,N/A,San Antonio,7109,W 1604 N,San Antonio,78254,Bexar County,2256,242,58483,7509,0.8,rooftop,TX,29.505427,-98.700853,48,48029,4865000,181728,1027,1,480291817281027
36,2018-07-10,31700 block of Dunham Lake Dr,Cypress,NA,Texas,0,1,N/A,Cypress,NA,NA,Cypress,77410,Harris County,NA,NA,NA,NA,0.33,place,TX,29.83399,-95.434241,48,48201,4818356,531700,2004,2,482015317002004
37,2018-07-08,5518 Culebra Rd,San Antonio,NA,Texas,0,1,N/A,San Antonio,5518,Culebra Rd,San Antonio,78228,Bexar County,498,91,49015,10773,1,rooftop,TX,29.446258,-98.59695,48,48029,4865000,171401,1000,1,480291714011000
38,2018-07-08,8400 block of Knox St,Houston,NA,Texas,1,0,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
39,2018-06-09,N/A,Roby,NA,Texas,0,1,N/A,Roby,NA,NA,Roby,79543,Fisher County,NA,NA,NA,NA,1,place,TX,32.749277,-100.338798,48,48151,4862612,950300,2028,2,481519503002028
40,2018-06-05,TX 207 and Franklin St,Borger,NA,Texas,1,1,N/A,Borger,NA,Franklin St,Borger,79007,Hutchinson County,NA,NA,NA,NA,0.8,intersection,TX,35.654973,-101.398778,48,48233,4809556,950900,4038,4,482339509004038
41,2018-05-20,10900 block of Telephone Rd,Houston,NA,Texas,0,1,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
42,2018-05-12,1100 block of Fairview Dr,Rockwall,NA,Texas,1,0,N/A,Rockwall,NA,NA,Rockwall,75032,Rockwall County,NA,NA,NA,NA,0.33,place,TX,32.886,-96.409502,48,48397,4862828,040505,4059,4,483970405054059
43,2018-04-30,N/A,Christine,NA,Texas,1,1,N/A,Christine,NA,NA,Christine,78012,Atascosa County,NA,NA,NA,NA,1,place,TX,28.785811,-98.488586,48,48013,4814860,960600,4087,4,480139606004087
44,2018-04-10,11300 block of Roszell St,San Antonio,NA,Texas,0,1,N/A,San Antonio,NA,NA,San Antonio,78201,Bexar County,NA,NA,NA,NA,0.33,place,TX,29.468413,-98.528889,48,48029,4865000,180201,4046,4,480291802014046
45,2018-04-09,N Dale St,Stephenville,NA,Texas,0,1,N/A,Stephenville,NA,N Dl,Stephenville,76401,Erath County,650,173,44590,16549,1,street_center,TX,32.217298,-98.234245,48,48143,4870208,950400,3026,3,481439504003026
46,2018-03-22,306 S 25th St,Temple,NA,Texas,0,1,N/A,Temple,306,S 25th St,Temple,76504,Bell County,323,49,24427,10684,1,rooftop,TX,31.096828,-97.355739,48,48027,4872176,020702,1062,1,480270207021062
47,2018-03-21,TX 7,Martinsville,NA,Texas,1,0,N/A,Martinsville,NA,NA,Martinsville,75958,Nacogdoches County,NA,NA,NA,NA,1,place,TX,31.534162,-94.639022,48,48347,4846896,950301,4003,4,483479503014003
48,2018-03-12,1300 block of Loop Rd,Beaumont,NA,Texas,0,1,N/A,Beaumont,NA,Black Ln,Beaumont,77713,Jefferson County,1058,173,57847,22172,0.6,street_center,TX,30.169251,-94.190681,48,48245,4807000,000101,2018,2,482450001012018
49,2018-02-28,2700 block of Waldron Rd,Corpus Christi,NA,Texas,0,1,N/A,Corpus Christi,NA,NA,Corpus Christi,78401,Nueces County,NA,NA,NA,NA,0.33,place,TX,27.797802,-97.399067,48,48355,4817000,006400,2102,2,483550064002102
50,2018-02-20,7100 block of Dale Rd,El Paso,NA,Texas,1,0,N/A,El Paso,7104,Black Rdg,El Paso,79912,El Paso County,1222,101,85063,13634,0.8,nearest_rooftop_match,TX,31.875464,-106.556204,48,48141,4824000,010217,2022,2,481410102172022
51,2018-02-15,4721 S Cooper St,Arlington,NA,Texas,0,1,N/A,Arlington,4721,S Cooper St,Arlington,76017,Tarrant County,462,152,52222,33125,1,rooftop,TX,32.669492,-97.133823,48,48439,4804000,111516,2035,2,484391115162035
52,2018-02-08,5010 I-27,Lubbock,NA,Texas,1,0,N/A,Lubbock,5010,I 27,Lubbock,79407,Lubbock County,523,131,37634,16264,1,range_interpolation,TX,33.569491,-101.91903,48,48303,4845000,001601,1018,1,483030016011018
53,2018-02-05,Albany Dr,Mabank,NA,Texas,0,1,N/A,Mabank,NA,Albany Dr,Mabank,75156,Henderson County,460,123,39434,7823,1,street_center,TX,32.294222,-96.10045,48,48213,4847892,950901,4027,4,482139509014027
54,2018-02-04,N/A,Texarkana,NA,Texas,0,1,N/A,Texarkana,NA,NA,Texarkana,75501,Bowie County,NA,NA,NA,NA,1,place,TX,33.411321,-94.177354,48,48037,4872368,011200,1089,1,480370112001089
55,2018-01-28,1400 block of W Gulf Bank Rd,Houston,NA,Texas,1,0,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
56,2018-01-28,1100 block of W St Francis St,Brownsville,NA,Texas,0,1,N/A,Brownsville,NA,NA,Brownsville,78520,Cameron County,NA,NA,NA,NA,0.33,place,TX,25.963264,-97.550453,48,48061,4810768,012507,1021,1,480610125071021
57,2018-01-27,Lynn Cir and 29th St,Texas City,NA,Texas,1,0,N/A,Texas City,NA,29th St N,Texas City,77590,Galveston County,NA,NA,NA,NA,0.8,intersection,TX,29.393186,-94.937229,48,48167,4872392,722300,4004,4,481677223004004
58,2018-01-24,3900 block of Lawnwood St,Fort Worth,NA,Texas,1,0,N/A,Fort Worth,3854,Black Canyon Rd,Fort Worth,76109,Tarrant County,818,143,96827,50459,0.2,nearest_rooftop_match,TX,32.692869,-97.395986,48,48439,4827000,105405,3084,3,484391054053084
59,2018-01-05,8125 Mills Rd,Houston,NA,Texas,0,1,N/A,Houston,8125,Mills Rd,Houston,77064,Harris County,1786,189,64885,24823,1,rooftop,TX,29.949175,-95.538582,48,48201,4835000,551500,2007,2,482015515002007
